UNIQUE_NUMBER,SPECIES,DEER_SEX,ESTIMATED_BIRTH_DATE,HOW_ADDED,ADDED_DATE,SOURCE_FACILITY,HOW_REMOVED,REMOVED_DATE,DESTINATION_FID,DESTINATION_TYPE,REPORTED_DEATH_DATE,CAUSE_OF_DEATH,FACILITY_WHERE_DEAD,POSTMORT_TEST_RESULT,POSTMORT_SMPL_CLLCTN_DATE,POSTMORT_TISSUE_TYPE,ANTEMORT_TEST_RESULT,ANTEMORT_SMPL_CLLCTN_DATE,ANTEMORT_FCLTY_WHERE_TESTED,ANTEMORT_TISSUE_TYPE
01N9K,White-Tailed Deer,M,6/20/2020,Birth,6/20/2020,,Death,3/31/2022,,,3/31/2022,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,3/31/2022,"Obex Location, RLN Not Detected",,,,
01N9L,White-Tailed Deer,M,6/20/2020,Birth,6/20/2020,,Transferred,9/1/2024,24352R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01N9M,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Death,3/6/2023,,,3/6/2023,Pneumonia,10953B,Post-mortem Obex and RLN,3/6/2023,Obex and RLN Not Detected,,,,
01N9N,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,8/29/2024,24352R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01N9P,White-Tailed Deer,M,6/20/2020,Birth,6/20/2020,,Transferred,9/13/2024,24866R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01N9Q,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,8/29/2024,24352R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01N9R,White-Tailed Deer,M,6/20/2020,Birth,6/20/2020,,Death,9/18/2023,,,9/18/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,9/18/2023,Obex and RLN Not Detected,Ante-mortem Rectal,3/9/2023,10953B,Not detected
01N9T,White-Tailed Deer,M,6/20/2020,Birth,6/20/2020,,Transferred,8/23/2024,20349R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01N9V,White-Tailed Deer,M,6/20/2020,Birth,6/20/2020,,Transferred,8/23/2024,20349R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01N9W,White-Tailed Deer,F,6/19/2022,Birth,6/19/2022,,Transferred,2/17/2024,12089R,R,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
01N9X,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,9/16/2024,20487R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01N9Y,White-Tailed Deer,M,6/20/2020,Birth,6/20/2020,,Transferred,8/23/2024,20349R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01NB0,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Death,5/9/2024,,,5/9/2024,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,5/9/2024,Obex and RLN Not Detected,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NB1,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,9/13/2024,24571R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01NB2,White-Tailed Deer,M,6/20/2020,Birth,6/20/2020,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
01NB3,White-Tailed Deer,M,6/20/2020,Birth,6/20/2020,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,2/22/2024,10953B,Not detected
