UNIQUE_NUMBER,Years_Present,TESTING_DATE
01NBB,2023,2/22/2024
01NBB,2024,2/22/2024
01NBC,2020,2/22/2024
01NBC,2021,2/22/2024
01NBC,2022,2/22/2024
01NBC,2023,2/22/2024
01NBC,2024,2/22/2024
01NBF,2020,2/22/2024
01NBF,2021,2/22/2024
01NBF,2022,2/22/2024
01NBF,2023,2/22/2024
01NBF,2024,2/22/2024
01NBG,2020,2/22/2024
01NBG,2021,2/22/2024
01NBG,2022,2/22/2024
01NBG,2023,2/22/2024
01NBG,2024,2/22/2024
01NBH,2021,7/26/2024
01NBH,2022,7/26/2024
01NBH,2023,7/26/2024
01NBH,2024,7/26/2024
01NBJ,2021,1/6/2023
01NBJ,2022,1/6/2023
01NBK,2021,7/26/2024
01NBK,2022,7/26/2024
01NBK,2023,7/26/2024
01NBK,2024,7/26/2024
01NBL,2021,1/29/2024
01NBL,2022,1/29/2024
01NBL,2023,1/29/2024
01NBM,2021,10/6/2023
01NBM,2022,10/6/2023
01NBM,2023,10/6/2023
01NBM,2024,10/6/2023
01NBN,2023,NA
01NBN,2024,NA
01NBP,2021,10/9/2023
01NBP,2022,10/9/2023
01NBP,2023,10/9/2023
01NBQ,2021,7/26/2024
01NBQ,2022,7/26/2024
01NBQ,2023,7/26/2024
01NBQ,2024,7/26/2024
01NBR,2021,1/29/2024
01NBR,2022,1/29/2024
01NBR,2023,1/29/2024
01NBT,2021,12/19/2023
01NBT,2022,12/19/2023
01NBV,2021,7/26/2024
01NBV,2022,7/26/2024
01NBV,2023,7/26/2024
01NBV,2024,7/26/2024
01NBW,2022,9/27/2023
01NBW,2023,9/27/2023
01NBW,2024,9/27/2023
01NBX,2022,10/6/2023
01NBX,2023,10/6/2023
01NBX,2024,10/6/2023
01NBY,2021,1/24/2023
01NBY,2022,1/24/2023
01NC0,2021,7/26/2024
01NC0,2022,7/26/2024
01NC0,2023,7/26/2024
01NC0,2024,7/26/2024
01NC1,2022,10/6/2023
01NC1,2023,10/6/2023
01NC1,2024,10/6/2023
01NC2,2021,10/6/2023
01NC2,2022,10/6/2023
01NC2,2023,10/6/2023
01NC2,2024,10/6/2023
01NC3,2022,10/6/2023
01NC3,2023,10/6/2023
01NC3,2024,10/6/2023
01NC4,2021,7/26/2024
01NC4,2022,7/26/2024
01NC4,2023,7/26/2024
01NC4,2024,7/26/2024
01NC5,2022,10/6/2023
01NC5,2023,10/6/2023
01NC5,2024,10/6/2023
01NC6,2021,7/26/2024
01NC6,2022,7/26/2024
01NC6,2023,7/26/2024
01NC6,2024,7/26/2024
01NC7,2021,10/6/2023
01NC7,2022,10/6/2023
01NC7,2023,10/6/2023
01NC8,2021,7/28/2024
01NC8,2022,7/28/2024
01NC8,2023,7/28/2024
01NC8,2024,7/28/2024
01NC9,2021,10/6/2023
01NC9,2022,10/6/2023
01NC9,2023,10/6/2023
01NC9,2024,10/6/2023
01NCB,2020,9/14/2023
01NCB,2021,9/14/2023
01NCB,2022,9/14/2023
01NCB,2023,9/14/2023
01NCC,2020,10/6/2023
01NCC,2021,10/6/2023
01NCC,2022,10/6/2023
01NCC,2023,10/6/2023
01NCF,2020,2/3/2023
01NCF,2021,2/3/2023
01NCF,2022,2/3/2023
01NCF,2023,2/3/2023
01NCG,2020,10/6/2023
01NCG,2021,10/6/2023
01NCG,2022,10/6/2023
01NCG,2023,10/6/2023
01NCH,2020,12/1/2021
01NCH,2021,12/1/2021
01NCJ,2021,7/26/2024
01NCJ,2022,7/26/2024
01NCJ,2023,7/26/2024
01NCJ,2024,7/26/2024
01NCK,2021,7/26/2024
01NCK,2022,7/26/2024
01NCK,2023,7/26/2024
01NCK,2024,7/26/2024
01NCL,2020,7/26/2024
01NCL,2021,7/26/2024
01NCL,2022,7/26/2024
01NCL,2023,7/26/2024
01NCL,2024,7/26/2024
01NCM,2022,9/19/2023
01NCM,2023,9/19/2023
01NCN,2021,7/26/2024
01NCN,2022,7/26/2024
01NCN,2023,7/26/2024
01NCN,2024,7/26/2024
01NCP,2020,NA
01NCP,2021,NA
01NCQ,2020,12/1/2021
01NCQ,2021,12/1/2021
01NCQ,2022,12/1/2021
01NCR,2020,10/6/2023
01NCR,2021,10/6/2023
01NCR,2022,10/6/2023
01NCR,2023,10/6/2023
01NCR,2024,10/6/2023
01NCT,2020,7/25/2024
01NCT,2021,7/25/2024
01NCT,2022,7/25/2024
01NCT,2023,7/25/2024
01NCT,2024,7/25/2024
01NCV,2020,7/11/2023
01NCV,2021,7/11/2023
01NCV,2022,7/11/2023
01NCV,2023,7/11/2023
01NCW,2021,3/6/2023
01NCW,2022,3/6/2023
01NCX,2021,7/26/2024
01NCX,2022,7/26/2024
01NCX,2023,7/26/2024
01NCX,2024,7/26/2024
01NCY,2021,NA
01NCY,2022,NA
01NF0,2020,3/28/2022
01NF0,2021,3/28/2022
01NF1,2021,7/26/2024
01NF1,2022,7/26/2024
01NF1,2023,7/26/2024
01NF1,2024,7/26/2024
01NF2,2020,10/6/2023
01NF2,2021,10/6/2023
01NF2,2022,10/6/2023
01NF2,2023,10/6/2023
01NF2,2024,10/6/2023
01NF3,2020,11/1/2023
01NF3,2021,11/1/2023
01NF4,2020,11/30/2022
01NF4,2021,11/30/2022
01NF4,2022,11/30/2022
01NF5,2021,3/6/2023
01NF5,2022,3/6/2023
01NF6,2020,2/3/2023
01NF6,2021,2/3/2023
01NF6,2022,2/3/2023
01NF6,2023,2/3/2023
01NF7,2021,10/6/2023
01NF7,2022,10/6/2023
01NF7,2023,10/6/2023
01NF7,2024,10/6/2023
01NF8,2020,2/3/2023
01NF8,2021,2/3/2023
01NF8,2022,2/3/2023
01NF8,2023,2/3/2023
01NF9,2020,NA
01NF9,2021,NA
01NF9,2022,NA
01NFB,2020,3/28/2022
01NFB,2021,3/28/2022
01NFC,2021,10/6/2023
01NFC,2022,10/6/2023
01NFC,2023,10/6/2023
01NFC,2024,10/6/2023
01NFF,2020,3/25/2022
01NFF,2021,3/25/2022
01NFG,2020,10/6/2023
01NFG,2021,10/6/2023
01NFG,2022,10/6/2023
01NFG,2023,10/6/2023
01NFG,2024,10/6/2023
01NFH,2021,10/6/2023
01NFH,2022,10/6/2023
01NFH,2023,10/6/2023
01NFH,2024,10/6/2023
01NFJ,2020,12/1/2021
01NFJ,2021,12/1/2021
01NFK,2020,11/1/2023
01NFK,2021,11/1/2023
01NFK,2022,11/1/2023
01NFK,2023,11/1/2023
01NFL,2020,10/6/2023
01NFL,2021,10/6/2023
01NFL,2022,10/6/2023
01NFL,2023,10/6/2023
01NFL,2024,10/6/2023
01NFM,2021,6/16/2022
01NFM,2022,6/16/2022
01NFN,2021,2/3/2023
01NFN,2022,2/3/2023
01NFN,2023,2/3/2023
01NFP,2020,11/1/2023
01NFP,2021,11/1/2023
01NFQ,2020,11/30/2022
01NFQ,2021,11/30/2022
01NFQ,2022,11/30/2022
01NFR,2021,11/30/2022
01NFR,2022,11/30/2022
01NFT,2021,9/27/2023
01NFT,2022,9/27/2023
01NFT,2023,9/27/2023
01NFT,2024,9/27/2023
01NFV,2020,7/24/2023
01NFV,2021,7/24/2023
01NFV,2022,7/24/2023
01NFV,2023,7/24/2023
01NFW,2020,2/3/2023
01NFW,2021,2/3/2023
01NFW,2022,2/3/2023
01NFW,2023,2/3/2023
01NFX,2020,10/6/2023
01NFX,2021,10/6/2023
01NFX,2022,10/6/2023
01NFX,2023,10/6/2023
01NFX,2024,10/6/2023
01NFY,2020,9/27/2023
01NFY,2021,9/27/2023
01NFY,2022,9/27/2023
01NFY,2023,9/27/2023
01NG0,2020,12/1/2021
01NG0,2021,12/1/2021
01NG1,2021,1/6/2023
01NG1,2022,1/6/2023
01NG2,2020,12/1/2021
01NG2,2021,12/1/2021
01NG3,2020,12/1/2021
01NG3,2021,12/1/2021
01NG4,2020,12/1/2021
01NG4,2021,12/1/2021
01NG5,2021,9/27/2023
01NG5,2022,9/27/2023
01NG5,2023,9/27/2023
01NG5,2024,9/27/2023
01NG6,2021,11/30/2022
01NG6,2022,11/30/2022
01NG7,2022,10/6/2023
01NG7,2023,10/6/2023
01NG7,2024,10/6/2023
01NG8,2021,NA
01NG9,2021,10/6/2023
01NG9,2022,10/6/2023
01NG9,2023,10/6/2023
01NG9,2024,10/6/2023
01NGB,2023,NA
01NGB,2024,NA
01NGC,2023,NA
01NGC,2024,NA
01NGF,2021,11/1/2023
01NGF,2022,11/1/2023
01NGG,2021,1/24/2023
01NGG,2022,1/24/2023
01NGH,2021,9/27/2023
01NGH,2022,9/27/2023
01NGH,2023,9/27/2023
01NGH,2024,9/27/2023
01NGJ,2021,11/30/2022
